isbn	numero_exemplaire	etat
2020549522	1	Bon
2020549522	2	Moyen
2038704015	1	Bon
2038704015	2	Moyen
2070367177	1	Bon
2070367177	2	Moyen
2070400816	1	Bon
2070400816	2	Moyen
2080720872	1	Bon
2080720872	2	Moyen
2203314168	1	Moyen
2203314168	2	Bon
2203314168	3	Neuf
2253006327	1	Bon
2253006327	2	Moyen
2253010219	1	Bon
2253010219	2	Moyen
2266085816	1	Bon
2266085816	2	Moyen
2266091611	1	Bon
2266091611	2	Moyen
2746021285	1	Bon
2746021285	2	Moyen
2746026090	1	Bon
2746026090	2	Moyen
2877065073	1	Bon
2877065073	2	Moyen
